RIN,name,category,address,location_lati,location_longi,website,image
?,Miga,"Japanese, American (New), Sushi Bars","301 N Neil St #104, Champaign, Il 61820",40.1183926,-88.24393320000001,http://miga-restaurant.com/,http://miga-restaurant.com/wp-content/uploads/2016/06/diningRoom.jpg
?,Texas Roadhouse,"Steakhouses, Barbeque, American (Traditional)","204 N. Country Fair Drive, Champaign, Il 61821",40.117825,-88.28108499999996,https://www.texasroadhouse.com/restaurant-locations/illinois/champaign,http://www.buffaloconstruction.com/res/uploads/case_studies/Header.JPG
?,Hamilton Walker’s,"Seafood, Steakhouses, Bars","201 N Neil St, Champaign, IL 61820",40.11749100000001,-88.243875,https://www.hamiltonwalkers.com/,https://dc8l3mwto1qll.cloudfront.net/assets/munch_images/rilcp00001/interior-bar11.jpg
