NEW! California Avocado Benedict,"Two basted eggs, fresh avocado, Applewood smoked bacon, oven-roasted tomatoes, Pepper Jack cheese, creamy hollandaise and garlic seasoning atop an English muffin.",,breakfast,,10.79,http://www.perkinsrestaurants.com/wp-content/uploads/2018/02/Cali-avocado-benedict-1.jpg,0,1
The Classic Benedict,"The tried-and-true favorite. Two basted eggs, grilled ham and creamy hollandaise atop an English muffin.",,breakfast,,9.49,http://www.perkinsrestaurants.com/wp-content/uploads/2016/02/breakfast_crackedClassics_eggsBenedict_detail.jpg,0,1
Cheeseburger Fries,"Crispy fries topped with 100% Angus ground beef, American cheese, tomatoes, lettuce, sweet red onions, queso and fried pickle chips.",,lunch-and-dinner,,7.99,http://www.perkinsrestaurants.com/wp-content/uploads/2016/02/lunch_starters_cheeseburgerFries_detail.jpg,0,1
Chorizo Flats,"A double stacked cheesy tortilla topped with chorizo sausage, green peppers, onions, Pepper Jack cheese, salsa and sour cream.",,lunch-and-dinner,,,http://www.perkinsrestaurants.com/wp-content/uploads/2016/02/lunch_starters_chirizoFlats_detail.jpg,0,1
Build Your Own Sampler,"Pick 3 different items
Pick 4 different items
• Chicken Strips with Honey Mustard
• Onion Rings with Chipotle Ranch
• MozzaSticks with Marinara
• Fried Pickles with Ranch
• Crispy Fries
• Crispy Tots",,lunch-and-dinner,,9.99,http://www.perkinsrestaurants.com/wp-content/uploads/2017/05/app-sampler-388x245.jpg,0,1
Southwest Avocado,"A fresh-Mex salad with blackened chicken, black bean corn relish, American cheese and fresh avocado on garden greens. Garnished with crunchy tortilla straws and served with a zesty Chipotle Ranch dressing.",,lunch-and-dinner,,9.99,http://www.perkinsrestaurants.com/wp-content/uploads/2016/02/sw-avocado-salad-388x245.jpg,0,1
The Chopped Cobb,"Butterball® roasted turkey, Applewood bacon, diced tomatoes, Feta cheese, avocado and hard-boiled egg on fresh greens with choice of dressing. (510 calories)",,lunch-and-dinner,,,http://www.perkinsrestaurants.com/wp-content/uploads/2016/02/lunch_salad_cobb_detail.jpg,0,1
Honey Mustard Chicken Crunch,"Crispy chicken strips, sweet red onions, red peppers, tomatoes, American cheese, Applewood smoked bacon and Honey Mustard dressing on fresh garden greens.",,lunch-and-dinner,,10.29,http://www.perkinsrestaurants.com/wp-content/uploads/2016/02/lunch_salad_honeyMust_detail-1.jpg,0,1
NEW! The Frisco Burger,"Two Angus beef patties, crispy onion rings, American cheese, lettuce, tomato, sweet red onions, pickles and zesty Thousand Island on grilled Parmesan sourdough bread.",,lunch-and-dinner,,,http://www.perkinsrestaurants.com/wp-content/uploads/2018/02/frisco-burger.jpg,0,1
NEW! A1® BBQ Bacon Burger,"Grill masters, rejoice. A blend of A.1.® and BBQ sauce, caramelized onions, Pepper Jack cheese, black pepper bacon and Onion Tanglers®",,lunch-and-dinner,,9.99,http://www.perkinsrestaurants.com/wp-content/uploads/2018/02/bbq-bacon-burger.jpg,0,1
NEW! Sweet ‘n Spicy Sriracha Burger,"Candied jalapeños, poblano queso, spicy Sriracha bacon, cheddar cheese, smashed tots, lettuce, tomato, pickles and sweet red onions.",,lunch-and-dinner,,,http://www.perkinsrestaurants.com/wp-content/uploads/2018/02/sriracha-burger.jpg,0,1
Patty Melt Pile On,"Two Angus beef patties, sautéed onions, American cheese and pickles on grilled Vienna bread.",,lunch-and-dinner,,10.49,http://www.perkinsrestaurants.com/wp-content/uploads/2018/02/patty-melt-pile-on-burger.jpg,0,1
NEW! The Breakfast Burger,"Crispy seasoned hash browns, sweet maple bacon, cheddar cheese and a fried egg.",,lunch-and-dinner,,,http://www.perkinsrestaurants.com/wp-content/uploads/2018/02/breakfast-burger.jpg,0,1
NEW! Classic Cheeseburger,"Cheddar cheese, lettuce, tomato, sweet red onions, pickles and Perkins® signature sauce.",,lunch-and-dinner,,,http://www.perkinsrestaurants.com/wp-content/uploads/2018/02/classic-burger.jpg,0,1
Chicken Strips Melt,"Crispy chicken strips, Applewood smoked bacon and melted Pepper Jack cheese with Ranch dressing served on grilled sourdough bread.",,lunch-and-dinner,,10.29,http://www.perkinsrestaurants.com/wp-content/uploads/2016/02/lunch_stacked_chicStrips_detail.jpg,0,1
SONOMA CHICKEN SALAD,"A blend of smoked pulled chicken, red grapes, celery and walnuts on a bed of leaf lettuce, served open face on a French roll.",,lunch-and-dinner,,,http://www.perkinsrestaurants.com/wp-content/uploads/2017/04/PERK1102_W2_Sonoma_Sandwich_388x245.jpg,0,1
TURKEY & AVOCADO BLT,"Sliced oven-roasted Butterball® turkey, fresh avocado, Applewood smoked bacon, tomato, balsamic aioli and lettuce on whole wheat bread. (image represents a half sandwich)",,lunch-and-dinner,,9.99,http://www.perkinsrestaurants.com/wp-content/uploads/2017/04/turkey-avocado-BLT-388x245-2.jpg,0,1
ROAST BEEF & SWISS,"Sliced roast beef, lettuce, red onion, tomato, Swiss cheese and a balsamic aioli on a French roll. (image represents a half sandwich)",,lunch-and-dinner,,9.99,http://www.perkinsrestaurants.com/wp-content/uploads/2017/04/roast-and-swiss-388x245.jpg,0,1
BBQ SMOKED CHICKEN,"Smoked, pulled chicken drizzled with a sweet BBQ sauce. Topped with crispy Onion Tanglers® and creamy cheese sauce served on a French roll.",,lunch-and-dinner,,10.49,http://www.perkinsrestaurants.com/wp-content/uploads/2017/04/BBQ-smoked-chicken-388x245.jpg,0,1
MAPLE-GLAZED PORK CHOP,"A tender, maple-glazed, 10 oz. USDA choice pork chop drizzled with a delectable maple butter sauce. Served with two dinner sides.",,lunch-and-dinner,,11.99,http://www.perkinsrestaurants.com/wp-content/uploads/2017/04/PERK1102_W2_Pork_Chop_388x245.jpg,0,1
Chicken Strips Dinner,"Our crispy, all-white meat chicken breast strips are served with Honey Mustard dipping sauce and choice of two dinner sides.",,lunch-and-dinner,,11.49,http://www.perkinsrestaurants.com/wp-content/uploads/2016/02/lunch_forkWorthy_chickStrips_detail-1.jpg,0,1
Butterball® Turkey & Dressing,Oven-roasted slices of turkey breast served on our seasoned sage dressing and topped with hearty turkey gravy. Served with tangy cranberry sauce and choice of two dinner sides.,,lunch-and-dinner,,11.99,http://www.perkinsrestaurants.com/wp-content/uploads/2016/02/turkey-no-pie-hero-back-off-388x245.jpg,0,1
Grilled Tilapia & Shrimp,Garlic-seasoned tilapia topped with grilled shrimp and drizzled with garlic butter. Served over herb rice pilaf with grilled asparagus. Also available Cajun-seasoned for an extra kick! (460-550 calories),,lunch-and-dinner,,11.79,http://www.perkinsrestaurants.com/wp-content/uploads/2016/02/lunch_forkWorthy_tilapia_detail-1.jpg,0,1
NEW! MINI POT PIE COMBO,"Our new, right-sized Chicken Pot Pie served with a fresh garden salad plus a FREE slice of our fresh baked pie! Available only after 11 a.m.",,lunch-and-dinner,,,http://www.perkinsrestaurants.com/wp-content/uploads/2018/02/mini-pot-pie-combo-2-1.jpg,0,1
Grilled Chicken with Mushrooms & Asparagus,"Lemon herb, cage-free chicken breast, grilled and topped with sautéed garlic crimini mushrooms. Served over herb rice pilaf with grilled asparagus and drizzled with a warm White Balsamic Vinaigrette. (620 calories)",,lunch-and-dinner,,10.59,http://www.perkinsrestaurants.com/wp-content/uploads/2016/02/grilled-chicken-with-mushroom.jpg,0,1
NEW! Balsamic Glazed Salmon Skillet,"Atlantic salmon with sautéed crimini mushrooms, sweet red onions, zucchini, summer squash, tender red bell peppers and oven-roasted tomatoes. Served on fresh spinach and herb rice pilaf with warm White Balsamic Vinaigrette.",,lunch-and-dinner,,12.99,http://www.perkinsrestaurants.com/wp-content/uploads/2018/02/PERK1488_Salmon.jpg,0,1
NEW! Kickin’ Chicken Tortilla Skillet,"Black bean and sweet corn relish topped with Cajun pulled chicken,sour cream, tortilla straws, American cheese and fresh avocado, in a seasoned broth. Served over herb rice pilaf.",,lunch-and-dinner,,10.99,http://www.perkinsrestaurants.com/wp-content/uploads/2018/02/PERK1488_Chicken_Tortilla.jpg,0,1
"NEW! Chicken, Bacon & Broccoli Skillet","Smoked pulled chicken with fresh steamed broccoli, oven-roasted tomatoes and Applewood smoked bacon. Drizzled with creamy poblano queso and served over herb rice pilaf.",,lunch-and-dinner,,10.99,http://www.perkinsrestaurants.com/wp-content/uploads/2018/02/PERK1488_Bacon_Broccoli.jpg,0,1
NEW! Steak & Peppers Skillet,"USDA Choice steak tips with tender red bell peppers, caramelized onions, crimini mushrooms and a rich beef gravy served over homestyle seasoned potatoes.",,lunch-and-dinner,,11.99,http://www.perkinsrestaurants.com/wp-content/uploads/2018/02/PERK1488_Steak_Peppers.jpg,0,1
Chocolate French Silk,Creamy chocolate topped with real whipped cream and dark chocolate curls.,,bakery,,3.99,http://www.perkinsrestaurants.com/wp-content/uploads/2016/02/bakery_creamPies_silk_detail.jpg,0,1
COCONUT CREAM,"Shredded coconut in a vanilla filling, topped with real whipped cream.",,bakery,760,3.79,http://www.perkinsrestaurants.com/wp-content/uploads/2016/02/bakery_creamPies_coconut_detail.jpg,0,1
BANANA CREAM,Loaded with hand-sliced bananas and topped with real whipped cream and chopped walnuts.,,bakery,700,3.79,http://www.perkinsrestaurants.com/wp-content/uploads/2016/02/bakery_creamPies_banana_detail.jpg,0,1
PEANUT BUTTER SILK,"Brownie topped with Reese’s® peanut butter silk, real whipped cream and mini Reese’s® peanut butter cups.",,bakery,970,3.99,http://www.perkinsrestaurants.com/wp-content/uploads/2017/05/peanutbutter-silk-pie-hero-no-nuts-388x245.jpg,0,1
WILDBERRY,Seasonal ripe berries. No sugar added.,,bakery,,3.99,http://www.perkinsrestaurants.com/wp-content/uploads/2016/02/bakery_fruitPies_berry_detail.jpg,0,1
LEMON MERINGUE,"Tangy lemon filling, light and fluffy.",,bakery,,3.79,http://www.perkinsrestaurants.com/wp-content/uploads/2016/02/bakery_fruitPies_lemon_detail.jpg,0,1
HOMESTYLE APPLE,Juicy sweet apples baked fresh inside a golden flaky crust.,,bakery,,3.49,http://www.perkinsrestaurants.com/wp-content/uploads/2016/02/bakery_fruitPies_apple_detail.jpg,0,1
CHERRY,Sweet and tangy cherries baked inside a golden double crust.,,bakery,,3.59,http://www.perkinsrestaurants.com/wp-content/uploads/2016/02/bakery_fruitPies_cherry_detail.jpg,0,1
Chocolate Chip,,,bakery,,1.39,http://www.perkinsrestaurants.com/wp-content/uploads/2016/02/New-recipe-Cookies-Recipe-hero-388x245.jpg,0,1
APPLE CINNAMON MUFFIN,,,bakery,,2.79,http://www.perkinsrestaurants.com/wp-content/uploads/2016/02/bakery_muffins_detail.jpg,0,1
CHOCOLATE CHIPPER™ SUNDAE,"A delectable treat of our fresh baked chocolate chip cookie, vanilla ice cream, hot fudge, whipped topping, chocolate chips and a cherry.",,bakery,,,http://www.perkinsrestaurants.com/wp-content/uploads/2016/02/bakery_sweetTreats_chipper_detail.jpg,0,1
Cinnamon Roll,Fresh baked daily and topped with rich cream cheese icing.,,bakery,670,2.99,http://www.perkinsrestaurants.com/wp-content/uploads/2016/01/breakfast_sweetStarts_cinnamon_detail.jpg,0,1
SHAKES ’N MALTS,"Hand-dipped with rich premium ice cream. Vanilla, Chocolate or Strawberry.",,bakery,,,http://www.perkinsrestaurants.com/wp-content/uploads/2016/02/bakery_iceCream_shakes_detail.jpg,0,1
